RouteID,RouteName,RouteDirection,AgencyName,ClusterName,Metropolin,OriginCityName,DestinationCityName,RouteType,ServiceType,RouteParticular,BusType,BusSize,NumOfAlternatives,RouteLength,WeeklyKM,AVGPassengersPerWeek,StationsInRoute,AverageSpeed,AverageTripDuration,OperatingCostPerPassenger,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 00:00-03:59,WorkDay - 04:00-05:59,WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 00:00-03:59,Friday - 04:00-05:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Friday - 15:00-18:59,Friday - 19:00-23:59,Saturday - 00:00-03:59,Saturday - 04:00-05:59,Saturday - 06:00-08:59,Saturday - 09:00-11:59,Saturday - 12:00-14:59,Saturday - 15:00-18:59,Saturday - 19:00-23:59,MaxRidership,year,Q,makat_dir
27097,97,2,מטרופולין,השרון,מרכז,כפר סבא,כפר סבא,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,2.3,25.1,,4,12.33,11.19,,2,11,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,שישי - 12:00-14:59,2024,2,27097-2
27222,222,1,מטרופולין,שרון חולון מרחבי,מרכז,כפר סבא,הרצליה,בינעירוני,מהיר,סדיר,בינעירוני,אוטובוס,1,19.9,1990.9,0.4,15,27.11,44.04,30.01,19,100,160.0,880.5,8.8,,0.0,9.2,16.1,13.1,2.9,,,,5.2,32.5,,,,,,,,,,,שישי - 09:00-11:59,2024,2,27222-1
27222,222,2,מטרופולין,שרון חולון מרחבי,מרכז,הרצליה,כפר סבא,בינעירוני,מהיר,סדיר,בינעירוני,אוטובוס,1,18.4,1936.5,0.4,14,31.39,35.17,28.87,20,105,151.0,767.6,7.3,,,2.0,1.1,13.9,12.2,5.6,,,1.0,3.5,,,,,,,,,,,ימי חול - 12:00-14:59,2024,2,27222-2
28001,1,1,אגד,אשכול דרומי,הדרום,דימונה,דימונה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,2,10.5,2770.4,1.0,43,20.91,30.13,16.82,46,260,515.7,2793.9,10.7,,,7.5,12.3,23.5,7.0,6.3,,,4.8,10.0,10.8,0.8,,,,,,,,2.9,ימי חול - 12:00-14:59,2024,2,28001-1
28001,1,2,אגד,אשכול דרומי,הדרום,דימונה,דימונה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,2,10.5,2946.6,1.0,43,21.81,28.89,17.14,49,278,519.7,2812.1,10.1,,0.6,13.8,15.3,14.7,6.4,4.9,,0.0,9.4,7.8,6.2,0.0,,,,,,,,1.9,ימי חול - 09:00-11:59,2024,2,28001-2
28002,2,1,דן בדרום,צפון הנגב,הדרום,אשקלון,אשקלון,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,2,17.1,3533.1,1.5,58,19.98,51.35,12.06,36,203,958.8,5186.4,25.5,,,23.2,26.8,45.8,19.6,16.0,,,13.0,23.3,24.2,0.0,,,,,,,,7.4,ימי חול - 12:00-14:59,2024,2,28002-1
28002,2,2,דן בדרום,צפון הנגב,הדרום,אשקלון,אשקלון,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,2,17.5,3877.1,1.4,58,21.7,48.39,12.13,39,219,977.8,5240.4,23.9,,5.9,29.5,32.5,38.0,17.6,15.8,,0.0,14.1,19.7,20.3,0.8,,,,,,,,6.5,ימי חול - 12:00-14:59,2024,2,28002-2
28003,3,1,דן,תל אביב,גוש דן,בני ברק,בני ברק,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,7.7,2890.4,5.6,20,11.11,41.58,5.75,67,373,2996.7,16186.6,43.4,,14.0,31.9,35.3,61.5,39.9,56.9,,32.8,27.9,32.8,51.6,17.0,,,,,,,,15.2,ימי חול - 12:00-14:59,2024,2,28003-1
28003,3,2,דן,תל אביב,גוש דן,בני ברק,בני ברק,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,8.7,3295.0,4.4,22,11.47,45.51,7.05,68,378,2682.1,14632.7,38.7,13.2,10.8,30.7,31.7,62.3,31.6,48.1,,,23.0,36.8,46.9,12.0,,,,,,,,25.9,ימי חול - 12:00-14:59,2024,2,28003-2
28008,8,1,מטרופולין,השרון,מרכז,כפר סבא,כפר סבא,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,10.7,1904.8,1.4,30,17.87,35.93,14.37,33,178,503.4,2670.3,15.0,,,11.3,13.4,25.4,14.8,12.4,,0.0,12.3,11.7,20.9,6.5,,,,,,,,6.0,ימי חול - 12:00-14:59,2024,2,28008-1
28008,8,2,מטרופולין,השרון,מרכז,כפר סבא,כפר סבא,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,10.5,1921.5,1.6,30,17.8,35.39,12.84,34,183,575.4,3025.4,16.5,,0.1,14.6,14.2,31.4,14.6,12.8,,0.0,8.3,11.9,24.3,4.8,,,,,,,,4.9,ימי חול - 12:00-14:59,2024,2,28008-2
28010,10,2,קווים,חשמונאים,מרכז,מצליח,רמלה,אזורי,מאסף,סדיר,בינעירוני,מיניבוס,1,6.4,32.2,0.6,16,24.0,16.0,25.95,1,5,3.7,18.5,3.7,,,3.7,,,,,,,,,,,,,,,,,,,ימי חול - 06:00-08:59,2024,2,28010-2
28010,10,3,קווים,חשמונאים,מרכז,רמלה,רמלה,אזורי,מאסף,סדיר,בינעירוני,מיניבוס,2,11.9,791.0,0.2,30,23.76,30.05,59.6,11,60,33.5,181.5,3.0,,,4.2,3.6,8.6,2.0,1.3,,,3.0,1.7,6.0,,,,,,,,,,ימי חול - 12:00-14:59,2024,2,28010-3
28011,11,1,סופרבוס,העמקים,מטרופולין חיפה,קרית טבעון,קרית טבעון,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,1,14.1,1739.1,0.5,46,28.79,29.39,23.84,22,123,169.3,909.8,7.4,,,6.2,8.5,14.4,4.8,4.9,,,3.0,5.6,4.8,,,,,,,,,,ימי חול - 12:00-14:59,2024,2,28011-1
